Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent
p_a,20.4517614985657,0,0.142796006334379,0.377883588336909,1.84768235422367
p_b1,1458.11832811387,0,24.6851402712665,4.96841426123733,0.340741499879791
p_c1,249.967714009874,0,5.14949787042926,2.26925050852242,0.907817442548913
p_g1,200,0,0.164800330766405,0.405956069995763,0.202978034997882
p_u,10322.3015642601,0,587.088174199145,24.2299024801823,0.234733526523539
p_0,-26.922989172198,0,0.0203319997282456,0.142590321299328,0.52962291960721
p_b2,0.067028846,1,NaN,NaN,NaN
p_g2,112.02675,1,NaN,NaN,NaN
p_c2,0.24908901,1,NaN,NaN,NaN
p_sdelta2,0.18360238,1,NaN,NaN,NaN
v_s2,3.5,1,NaN,NaN,NaN
eps_v1,0.05,1,NaN,NaN,NaN
eps_v2,0.03,1,NaN,NaN,NaN
