Row,p_a,p_b1,p_c1,p_g1,p_u,p_0
p_a,1,0.34737693074649,-0.726850520627879,0.676199114797426,0.313923685426142,-0.5332728273347
p_b1,0.34737693074649,1,-0.726350653776712,0.536222374454947,0.980498812018366,-0.139562194436774
p_c1,-0.726850520627879,-0.726350653776712,1,-0.477674856912353,-0.627410893830094,0.151217992691307
p_g1,0.676199114797426,0.536222374454947,-0.477674856912353,1,0.53846854916175,-0.768624308361774
p_u,0.313923685426142,0.980498812018366,-0.627410893830094,0.53846854916175,1,-0.142038835289645
p_0,-0.5332728273347,-0.139562194436774,0.151217992691307,-0.768624308361774,-0.142038835289645,1
