Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent
p_a,31.2070134485664,0,0.457139122902328,0.676120642269061,2.16656631812398
p_b1,1500,0,26.7403303120965,5.17110532788654,0.344740355192436
p_c1,182.728246211115,0,18.4931680852891,4.30036836623202,2.35342288639032
p_g1,152.768477972648,0,0.328451714278932,0.573107070519054,0.37514746374685
p_u,10157.7650318463,0,1173.88977974242,34.2620749480007,0.337299345284945
p_0,0,1,NaN,NaN,NaN
p_b2,0.067028846,1,NaN,NaN,NaN
p_g2,112.02675,1,NaN,NaN,NaN
p_c2,0.24908901,1,NaN,NaN,NaN
p_sdelta2,0.18360238,1,NaN,NaN,NaN
v_s2,3.5,1,NaN,NaN,NaN
eps_v1,0.05,1,NaN,NaN,NaN
eps_v2,0.03,1,NaN,NaN,NaN
