Row,p_a,p_b1,p_c1,p_g1,p_u
p_a,1,0.656667755795965,0.498647872963235,0.721588180072034,0.685508783379978
p_b1,0.656667755795965,1,0.640291237585457,0.974687779876512,0.995186577414278
p_c1,0.498647872963235,0.640291237585457,1,0.740522503981238,0.697254575605815
p_g1,0.721588180072034,0.974687779876512,0.740522503981238,1,0.986044074213905
p_u,0.685508783379978,0.995186577414278,0.697254575605815,0.986044074213905,1
