Row,p_a,p_b1,p_c1,p_g1,p_u,p_0
p_a,1,-0.20904550390801,0.378041668854025,0.0440367221218782,-0.151372574526602,-0.520258914394837
p_b1,-0.20904550390801,1,0.180308164838416,0.914240251117567,0.99259941082045,0.0153450644475812
p_c1,0.378041668854025,0.180308164838416,1,0.490837738705103,0.290227771400354,-0.748977180920468
p_g1,0.0440367221218782,0.914240251117567,0.490837738705103,1,0.945346041099479,-0.350262538324467
p_u,-0.151372574526602,0.99259941082045,0.290227771400354,0.945346041099479,1,-0.0735700269504364
p_0,-0.520258914394837,0.0153450644475812,-0.748977180920468,-0.350262538324467,-0.0735700269504364,1
