Row,p_a,p_b1,p_c1,p_g1,p_u,theta1_offset
p_a,1,-0.147368217498288,-0.0297858865903715,-0.815561409166028,-0.326817329851545,0.157730206432674
p_b1,-0.147368217498288,1,-0.014444203264868,0.301672088924127,0.217658235849375,0.00733092015482751
p_c1,-0.0297858865903715,-0.014444203264868,1,0.11407113851686,-0.267897889343447,0.934830948822875
p_g1,-0.815561409166028,0.301672088924127,0.11407113851686,1,0.106050311709835,-0.105725782442137
p_u,-0.326817329851545,0.217658235849375,-0.267897889343447,0.106050311709835,1,-0.279485242965885
theta1_offset,0.157730206432674,0.00733092015482751,0.934830948822875,-0.105725782442137,-0.279485242965885,1
