Row,p_a,p_b1,p_c1,p_g1,p_u,theta_scale,theta1_offset
p_a,1,0.514317555003708,0.494842729548519,0.673261500784365,0.620845418815295,-0.0435590049484104,-0.0921069993083857
p_b1,0.514317555003708,1,0.27501902061965,0.92643183366146,0.984435931380574,-0.477311942148378,0.189731779228035
p_c1,0.494842729548519,0.27501902061965,1,0.459632396481742,0.405084351616026,-0.0822689466668936,0.272082465549479
p_g1,0.673261500784365,0.92643183366146,0.459632396481742,1,0.948933140823753,-0.500387149189552,0.0462251034188459
p_u,0.620845418815295,0.984435931380574,0.405084351616026,0.948933140823753,1,-0.447639958016961,0.18006627548501
theta_scale,-0.0435590049484104,-0.477311942148378,-0.0822689466668936,-0.500387149189552,-0.447639958016961,1,-0.308041079346115
theta1_offset,-0.0921069993083857,0.189731779228035,0.272082465549479,0.0462251034188459,0.18006627548501,-0.308041079346115,1
