Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent
p_a,21.1251101935203,0,0.0854775663062514,0.292365467020733,1.3839713229539
p_b1,712.190336056314,0,0.025844157018814,0.16076118007409,0.022572783136077
p_c1,19.8251331472362,0,0.0905604767263577,0.300932678063313,1.51793521803038
p_g1,98.0601301064682,0,0.00323498270055272,0.0568769083244925,0.0580020730777521
p_u,4740.31472203416,0,22.2957419080489,4.72183670916825,0.0996101943868829
p_b2,0.0670909232612606,1,NaN,NaN,NaN
p_g2,112.024824828006,1,NaN,NaN,NaN
p_c2,0.248612341004958,1,NaN,NaN,NaN
p_sdelta2,0.184081449833264,1,NaN,NaN,NaN
v_s2,3.5,1,NaN,NaN,NaN
eps_v1,0.05,1,NaN,NaN,NaN
eps_v2,0.03,1,NaN,NaN,NaN
theta_scale,1,1,NaN,NaN,NaN
theta1_offset,0.0560884583865241,0,2.48145379872195e-06,0.00157526308873215,2.80853340249876
theta_abs_down_raw,3.14458354361354,1,NaN,NaN,NaN
