Stage,DataSet,Experiment,SignalType,ExperimentIndex,Output,FitPercent,VAF_Percent,NRMSE,NRMSE_FitPercent,RMSE_rad,RMSE_deg,Bias_rad,Bias_deg,RMSE_NoBias_rad,RMSE_NoBias_deg,AmplitudeMeasured_rad,AmplitudeModel_rad,AmplitudeRatio,PhaseLag_s,PhasePeakCorrelation,ResidInputCorr0,ResidInputCorrMaxAbs
Stage 1,training,prbs_run_01,PRBS,1,theta_1,-29.4812292776736,0,1.29481229277674,-29.4812292776736,1.17729982445972,67.4543111630345,0.991662264634564,56.8180624659459,0.634539856567519,36.3564557141555,1.54957880492048,1.1377954957629,0.734261137381322,0,0.73824017838607,-0.045463361643748,0.0812543720886241
Stage 1,training,prbs_run_01,PRBS,1,theta_2,-29.4267735131062,77.2518362988751,1.29426773513106,-29.4267735131062,1.26500349011496,72.4793610529064,-0.994507095893318,-56.9810592904994,0.781786074460827,44.7930425487057,1.85381938233376,1.78526375400841,0.963019251509257,-0.1,0.685163343513664,0.0460788974756616,0.130384339805719
Stage 1,training,chirp_run_01,chirp,2,theta_1,11.1481200896248,97.3007031164228,0.888518799103752,11.1481200896248,0.377523750235416,21.6305175544403,-0.367949260952433,-21.0819397275322,0.0844838644734665,4.84056887128486,0.746581939581072,0.781168080593714,1.0463259813545,0,0.981214213832949,0.0373755737039877,0.0813978911908335
Stage 1,training,chirp_run_01,chirp,2,theta_2,17.5061012996037,83.9714232212841,0.824938987003963,17.5061012996037,0.403306546863544,23.1077629852762,0.361668337871109,20.722069343526,0.178471802043194,10.2256810191693,1.02243661586041,1.20755224886235,1.18105340725318,-0.04,0.958491124087615,0.033777468439536,0.125438699715766
Stage 1,training,prbs_run_03,PRBS,3,theta_1,63.0084865202376,98.4004423111919,0.369915134797624,63.0084865202376,0.312265998759842,17.8915238143763,-0.213939989462209,-12.2578584652579,0.227463700159809,13.0327100115863,1.64629010622048,1.64268229384221,0.997808519674241,0,0.966851726561281,0.0222258381086496,0.04644012289234
Stage 1,training,prbs_run_03,PRBS,3,theta_2,38.7965798952619,76.8303236473523,0.612034201047381,38.7965798952619,0.633696585873561,36.3081398624046,0.200892061606835,11.5102672677537,0.601010601013961,34.435370880721,2.17025232038107,1.83918654541707,0.847452864418148,0.03,0.821988045128254,0.043839651020566,0.140917958377913
Stage 1,training,chirp_run_03,chirp,4,theta_1,42.0675089940084,99.8039636779826,0.579324910059916,42.0675089940084,0.124220486835464,7.1173096247325,-0.113783234846487,-6.51929913604961,0.0498407947118504,2.85566718456698,0.49601174984925,0.596050459419031,1.20168616892682,0,0.987309727536772,0.0264170809612666,0.193302946333631
Stage 1,training,chirp_run_03,chirp,4,theta_2,38.0678343535417,74.8975054343819,0.619321656464583,38.0678343535417,0.291034234207482,16.6750333139107,0.107820300170079,6.1776481455792,0.270325190006351,15.488492483436,1.42170930891538,1.39628478338479,0.982116931097545,0.02,0.830017740043663,-0.0093795954558448,0.0760141214514098
Stage 1,training,prbs_run_05,PRBS,5,theta_1,58.088467714387,91.3724515240072,0.41911532285613,58.088467714387,0.522477650203212,29.9357642465566,0.29062213282509,16.6514216439681,0.434190823111298,24.8773016675886,2.34671437927201,2.35391608656962,1.00306884696375,-0.03,0.938004304425034,0.152429979569491,0.159738782762377
Stage 1,training,prbs_run_05,PRBS,5,theta_2,57.8709114832301,94.2978283526679,0.421290885167699,57.8709114832301,0.542625027330927,31.0901239242331,-0.293597914311758,-16.8219213639073,0.456335605665036,26.1461042461528,2.77401233660813,2.50201596853606,0.901948392772958,0,0.93532512229162,-0.131883993295372,0.161790512697808
