Order,MeanN4SIDEstFit,MeanN4SIDValFit,MeanSSESTEstFit,MeanSSESTValFit
2,8.06740511136844,7.94282374459828,10.3242777367407,10.2127441100963
3,9.94940218791708,9.8654575709943,33.7924532596012,33.8016581727758
4,21.103387022301,21.9841731503724,43.2201053762393,42.6999244934648
5,19.4724674433845,19.3803628210172,43.0520767469391,43.2059765809087
6,18.0869826499071,17.9413552840262,44.3953703706533,43.5613391645782
7,14.6557012944853,14.3672810660829,59.346727183124,61.0284448167642
8,15.626684807231,15.4367710416311,43.6583459748367,42.7907262123477
