Row,p_a,p_b1,p_g1,p_u,p_0,p_b2,p_g2
p_a,1,0.909006500282847,0.909287074789389,0.909093442023788,0.892358543026578,0.92065764709437,-0.26473204066097
p_b1,0.909006500282847,1,0.999464383974899,0.9999787123207,0.978852123137602,0.974955036709126,-0.22802199383484
p_g1,0.909287074789389,0.999464383974899,1,0.999540947223056,0.972996246034036,0.973814585897459,-0.215071655936888
p_u,0.909093442023788,0.9999787123207,0.999540947223056,1,0.978347648843796,0.97473346887573,-0.225227472080769
p_0,0.892358543026578,0.978852123137602,0.972996246034036,0.978347648843796,1,0.958172608888701,-0.318889217192697
p_b2,0.92065764709437,0.974955036709126,0.973814585897459,0.97473346887573,0.958172608888701,1,-0.33102254710233
p_g2,-0.26473204066097,-0.22802199383484,-0.215071655936888,-0.225227472080769,-0.318889217192697,-0.33102254710233,1
