Parameter,Value,Fixed
p_a,40.8590351880646,0
p_b1,3659.84364735628,0
p_g1,267.723832673212,0
p_u,22670.4572723097,0
p_0,17.6765983509446,0
p_b2,0.0965445212173541,1
p_g2,112.170820996046,1
